Weather,Road_Type,Time_of_Day,Traffic_Density,Speed_Limit,Number_of_Vehicles,Driver_Alcohol,Accident_Severity,Road_Condition,Vehicle_Type,Driver_Age,Driver_Experience,Road_Light_Condition,Accident,Time_Numeric,Time_Risk,Weather_Risk,Weather_Road_Risk,Age_Group,Experience_Age_Ratio,Driver_Risk_Score,Traffic_Risk,Speed_Risk,Road_Type_Risk,Weather_Time_Interaction,Traffic_Road_Interaction
Clear,Highway,Evening,2.0,120.0,5.0,0.0,Low,Under Construction,Car,42.0,39.0,No Light,0.0,2,3,1,1,Middle_Age,0.9285714285714286,1,10.0,3,3,3,6.0
Clear,City Road,Morning,2.0,50.0,1.0,0.0,Low,Dry,Car,67.0,66.0,Artificial Light,0.0,0,1,1,1,Elderly,0.9850746268656716,3,2.0,1,2,1,4.0
Clear,Highway,Afternoon,1.0,80.0,3.0,1.0,Low,Dry,Car,56.0,48.0,No Light,0.0,1,2,1,1,Senior,0.8571428571428571,1,3.0,2,3,2,3.0
Foggy,Rural Road,Morning,0.0,80.0,4.0,0.0,Low,Dry,Motorcycle,40.0,32.0,Daylight,0.0,0,1,3,3,Middle_Age,0.8,1,0.0,2,2,3,0.0
Rainy,Highway,Night,1.0,30.0,1.0,0.0,Low,Dry,Car,54.0,54.0,Daylight,0.0,3,4,2,1,Senior,1.0,1,1.0,1,3,8,3.0
Clear,Highway,Afternoon,2.0,80.0,3.0,0.0,Low,Dry,Car,52.0,43.0,Artificial Light,0.0,1,2,1,1,Senior,0.8269230769230769,1,6.0,2,3,2,6.0
Clear,Highway,Evening,2.0,60.0,4.0,0.0,Moderate,Wet,Car,44.0,37.0,Daylight,0.0,2,3,1,1,Middle_Age,0.8409090909090909,1,8.0,1,3,3,6.0
Clear,Mountain Road,Evening,1.0012531328320802,206.0,13.0,0.0,Low,Icy,Motorcycle,20.0,17.0,Artificial Light,0.0,2,3,1,1,Young,0.85,3,13.016290726817042,3,4,3,4.005012531328321
Foggy,Highway,Evening,2.0,30.0,5.0,0.0,High,Wet,Car,35.0,26.0,Artificial Light,1.0,2,3,3,3,Adult,0.7428571428571429,1,10.0,1,3,9,6.0
Rainy,Highway,Afternoon,0.0,120.0,3.0,0.0,Moderate,Dry,Truck,43.2593984962406,39.0,Artificial Light,1.0,1,2,2,1,Middle_Age,0.9015381941426958,1,0.0,3,3,4,0.0
Clear,City Road,Evening,1.0,80.0,3.0,0.0,Moderate,Icy,Car,35.0,31.0,Artificial Light,0.0,2,3,1,1,Adult,0.8857142857142857,1,3.0,2,2,3,2.0
Snowy,Highway,Morning,2.0,60.0,4.0,0.0,Low,Wet,Car,50.0,43.0,Daylight,1.0,0,1,5,2,Middle_Age,0.86,1,8.0,1,3,5,6.0
Rainy,Highway,Afternoon,0.0,60.0,4.0,0.0,Low,Under Construction,Car,65.0,60.0,Daylight,0.0,1,2,2,1,Senior,0.9230769230769231,1,0.0,1,3,4,0.0
Clear,Highway,Afternoon,1.0,50.0,3.0,0.0,Moderate,Dry,Motorcycle,41.0,38.0,Daylight,1.0,1,2,1,1,Middle_Age,0.926829268292683,1,3.0,1,3,2,3.0
Rainy,Rural Road,Afternoon,0.0,60.0,2.0,0.0,Moderate,Under Construction,Car,59.0,53.0,Daylight,0.0,1,2,2,1,Senior,0.8983050847457628,1,0.0,1,2,4,0.0
Clear,Highway,Morning,2.0,50.0,3.0,0.0,Low,Icy,Car,24.0,21.0,Artificial Light,0.0,0,1,1,1,Young,0.875,3,6.0,1,3,1,6.0
Clear,Highway,Night,1.0,30.0,3.0,0.0,Low,Wet,Car,59.0,54.0,Artificial Light,0.0,3,4,1,1,Senior,0.9152542372881356,1,3.0,1,3,4,3.0
Clear,Highway,Evening,0.0,30.0,5.0,0.0,Moderate,Dry,Car,65.0,59.0,Daylight,1.0,2,3,1,1,Senior,0.9076923076923077,1,0.0,1,3,3,0.0
Clear,Highway,Afternoon,2.0,80.0,2.0,0.0,Low,Wet,Car,19.0,19.0,Daylight,0.0,1,2,1,1,Young,1.0,3,4.0,2,3,2,6.0
Rainy,Highway,Evening,0.0,100.0,2.0,0.0,Low,Icy,Truck,37.0,29.0,Daylight,1.0,2,3,2,1,Middle_Age,0.7837837837837838,1,0.0,2,3,6,0.0
Rainy,Highway,Afternoon,0.0,60.0,2.0,0.0,Low,Dry,Car,26.0,23.0,Artificial Light,0.0,1,2,2,1,Adult,0.8846153846153846,1,0.0,1,3,4,0.0
Rainy,City Road,Afternoon,0.0,80.0,4.0,0.0,High,Dry,Car,22.0,38.9812030075188,Artificial Light,0.0,1,2,2,1,Young,1.7718728639781274,3,0.0,2,2,4,0.0
Foggy,Rural Road,Morning,0.0,30.0,3.0,0.0,High,Dry,Car,42.0,42.0,Artificial Light,0.0,0,1,3,3,Middle_Age,1.0,1,0.0,1,2,3,0.0
Clear,Highway,Evening,0.0,80.0,2.0,0.0,Low,Icy,Car,69.0,64.0,Artificial Light,1.0,2,3,1,1,Elderly,0.927536231884058,3,0.0,2,3,3,0.0
Snowy,Highway,Night,2.0,50.0,4.0,0.0,High,Dry,Bus,21.0,14.0,Daylight,0.0,3,4,5,1,Young,0.6666666666666666,3,8.0,1,3,20,6.0
Clear,Highway,Evening,2.0,60.0,5.0,1.0,Moderate,Icy,Car,68.0,65.0,Artificial Light,0.0,2,3,1,1,Elderly,0.9558823529411765,3,10.0,1,3,3,6.0
Clear,City Road,Night,2.0,80.0,1.0,0.0,Low,Dry,Car,55.0,46.0,No Light,0.0,3,4,1,1,Senior,0.8363636363636363,1,2.0,2,2,4,4.0
Clear,City Road,Afternoon,2.0,60.0,4.0,0.0,High,Wet,Car,41.0,41.0,Artificial Light,1.0,1,2,1,1,Middle_Age,1.0,1,8.0,1,2,2,4.0
Clear,Highway,Evening,0.0,60.0,2.0,1.0,Moderate,Dry,Truck,39.0,37.0,Artificial Light,1.0,2,3,1,1,Middle_Age,0.9487179487179487,1,0.0,1,3,3,0.0
Foggy,Mountain Road,Evening,2.0,50.0,2.0,0.0,High,Icy,Truck,21.0,18.0,No Light,0.0,2,3,3,3,Young,0.8571428571428571,3,4.0,1,4,9,8.0
Clear,Mountain Road,Afternoon,0.0,60.0,1.0,0.0,Low,Dry,Bus,65.0,57.0,Artificial Light,0.0,1,2,1,1,Senior,0.8769230769230769,1,0.0,1,4,2,0.0
Snowy,Mountain Road,Morning,0.0,50.0,4.0,0.0,Low,Icy,Car,55.0,52.0,No Light,0.0,0,1,5,1,Senior,0.9454545454545454,1,0.0,1,4,5,0.0
Clear,Mountain Road,Afternoon,1.0,100.0,2.0,0.0,Low,Dry,Car,28.0,26.0,Artificial Light,1.0,1,2,1,1,Adult,0.9285714285714286,1,2.0,2,4,2,4.0
Snowy,Highway,Afternoon,2.0,50.0,5.0,0.0,Low,Under Construction,Motorcycle,30.0,21.0,Artificial Light,0.0,1,2,5,1,Adult,0.7,1,10.0,1,3,10,6.0
Clear,Highway,Night,2.0,60.0,2.0,1.0,Low,Dry,Bus,65.0,57.0,Artificial Light,1.0,3,4,1,1,Senior,0.8769230769230769,1,4.0,1,3,4,6.0
Rainy,Highway,Afternoon,2.0,80.0,3.0,1.0,Low,Dry,Motorcycle,62.0,60.0,Daylight,1.0,1,2,2,1,Senior,0.967741935483871,1,6.0,2,3,4,6.0
Clear,Highway,Afternoon,1.0,50.0,3.0,0.0,Moderate,Dry,Car,24.0,22.0,Artificial Light,0.0,1,2,1,1,Young,0.9166666666666666,3,3.0,1,3,2,3.0
Foggy,City Road,Morning,1.0,30.0,4.0,0.0,Low,Icy,Car,68.0,61.0,Daylight,0.0,0,1,3,3,Elderly,0.8970588235294118,3,4.0,1,2,3,2.0
Clear,City Road,Evening,1.0,80.0,2.0,0.0,Low,Dry,Car,19.0,13.0,Artificial Light,0.0,2,3,1,1,Young,0.6842105263157895,3,2.0,2,2,3,2.0
Rainy,City Road,Afternoon,1.0,30.0,5.0,1.0,Moderate,Icy,Car,54.0,53.0,Artificial Light,0.0,1,2,2,1,Senior,0.9814814814814815,1,5.0,1,2,4,2.0
Rainy,City Road,Afternoon,1.0,178.0,12.0,0.0,Moderate,Wet,Car,67.0,59.0,Daylight,1.0,1,2,2,2,Elderly,0.8805970149253731,3,12.0,3,2,4,2.0
Rainy,Highway,Afternoon,0.0,60.0,1.0,0.0,Low,Under Construction,Car,34.0,30.0,Daylight,0.0,1,2,2,1,Adult,0.8823529411764706,1,0.0,1,3,4,0.0
Clear,City Road,Afternoon,1.0,100.0,5.0,0.0,Moderate,Icy,Car,34.0,26.0,Artificial Light,0.0,1,2,1,1,Adult,0.7647058823529411,1,5.0,2,2,2,2.0
Rainy,Highway,Morning,1.0,60.0,5.0,0.0,Moderate,Under Construction,Car,25.0,38.9812030075188,Artificial Light,1.0,0,1,2,1,Young,1.559248120300752,1,5.0,1,3,2,3.0
Rainy,Highway,Evening,2.0,60.0,2.0,1.0,Low,Under Construction,Car,43.2593984962406,38.0,Artificial Light,1.0,2,3,2,1,Middle_Age,0.8784218301903189,1,4.0,1,3,6,6.0
Rainy,City Road,Afternoon,1.0,60.0,2.0,0.0,High,Dry,Motorcycle,21.0,19.0,Daylight,0.0,1,2,2,1,Young,0.9047619047619048,3,2.0,1,2,4,2.0
Snowy,Rural Road,Afternoon,1.0,60.0,1.0,0.0,High,Dry,Car,43.0,42.0,Artificial Light,1.0,1,2,5,1,Middle_Age,0.9767441860465116,1,1.0,1,2,10,2.0
Rainy,Highway,Morning,2.0,30.0,2.0,0.0,Low,Icy,Car,52.0,51.0,Daylight,0.0,0,1,2,1,Senior,0.9807692307692307,1,4.0,1,3,2,6.0
Snowy,Rural Road,Evening,1.0,50.0,5.0,0.0,Low,Wet,Motorcycle,64.0,56.0,No Light,0.0,2,3,5,2,Senior,0.875,1,5.0,1,2,15,2.0
Clear,Rural Road,Afternoon,1.0,60.0,1.0,0.0,Low,Icy,Car,60.0,56.0,Daylight,0.0,1,2,1,1,Senior,0.9333333333333333,1,1.0,1,2,2,2.0
Clear,City Road,Morning,0.0,80.0,1.0,0.0,Low,Wet,Motorcycle,50.0,42.0,No Light,0.0,0,1,1,1,Middle_Age,0.84,1,0.0,2,2,1,0.0
Rainy,Mountain Road,Afternoon,1.0,60.0,1.0,0.0,Low,Dry,Car,18.0,38.9812030075188,No Light,0.0,1,2,2,1,Young,2.1656223893066002,3,1.0,1,4,4,4.0
Clear,Rural Road,Morning,2.0,60.0,2.0,0.0,Moderate,Dry,Car,43.2593984962406,10.0,Daylight,1.0,0,1,1,1,Middle_Age,0.23116363952376814,1,4.0,1,2,1,4.0
Rainy,Rural Road,Morning,1.0,60.0,4.0,0.0,Low,Dry,Car,33.0,30.0,No Light,0.0,0,1,2,1,Adult,0.9090909090909091,1,4.0,1,2,2,2.0
Foggy,City Road,Afternoon,1.0,80.0,5.0,0.0,Low,Wet,Car,34.0,38.9812030075188,Artificial Light,0.0,1,2,3,3,Adult,1.1465059708093766,1,5.0,2,2,6,2.0
Rainy,Highway,Evening,0.0,60.0,3.0,0.0,Low,Icy,Car,43.2593984962406,13.0,Artificial Light,0.0,2,3,2,1,Middle_Age,0.3005127313808986,1,0.0,1,3,6,0.0
Clear,City Road,Morning,1.0,60.0,3.0,0.0,Low,Wet,Car,32.0,27.0,Daylight,0.0,0,1,1,1,Adult,0.84375,1,3.0,1,2,1,2.0
Clear,Highway,Afternoon,1.0,208.0,11.0,0.0,Low,Icy,Motorcycle,52.0,50.0,Artificial Light,0.0,1,2,1,1,Senior,0.9615384615384616,1,11.0,3,3,2,3.0
Clear,City Road,Afternoon,2.0,50.0,5.0,1.0,Low,Dry,Car,36.0,33.0,Daylight,1.0,1,2,1,1,Middle_Age,0.9166666666666666,1,10.0,1,2,2,4.0
Clear,City Road,Morning,0.0,80.0,1.0,0.0,Moderate,Dry,Motorcycle,36.0,36.0,Artificial Light,1.0,0,1,1,1,Middle_Age,1.0,1,0.0,2,2,1,0.0
Clear,Highway,Afternoon,1.0,50.0,5.0,0.0,Moderate,Dry,Car,27.0,20.0,Artificial Light,1.0,1,2,1,1,Adult,0.7407407407407407,1,5.0,1,3,2,3.0
Snowy,City Road,Night,0.0,60.0,3.0,0.0,Moderate,Dry,Car,45.0,43.0,Daylight,0.0,3,4,5,1,Middle_Age,0.9555555555555556,1,0.0,1,2,20,0.0
Clear,Rural Road,Night,1.0,80.0,4.0,0.0,Low,Wet,Car,68.0,67.0,Daylight,0.0,3,4,1,1,Elderly,0.9852941176470589,3,4.0,2,2,4,2.0
Rainy,Highway,Morning,0.0,60.0,4.0,0.0,Moderate,Dry,Car,69.0,69.0,No Light,1.0,0,1,2,1,Elderly,1.0,3,0.0,1,3,2,0.0
Clear,City Road,Afternoon,0.0,50.0,1.0,0.0,Moderate,Under Construction,Car,43.0,40.0,Artificial Light,0.0,1,2,1,1,Middle_Age,0.9302325581395349,1,0.0,1,2,2,0.0
Snowy,City Road,Night,1.0,100.0,3.0,0.0,High,Dry,Bus,33.0,25.0,Artificial Light,0.0,3,4,5,1,Adult,0.7575757575757576,1,3.0,2,2,20,2.0
Clear,Highway,Evening,0.0,120.0,5.0,0.0,Moderate,Under Construction,Truck,53.0,53.0,Artificial Light,0.0,2,3,1,1,Senior,1.0,1,0.0,3,3,3,0.0
Clear,City Road,Morning,2.0,50.0,1.0,0.0,Low,Dry,Car,62.0,53.0,Artificial Light,1.0,0,1,1,1,Senior,0.8548387096774194,1,2.0,1,2,1,4.0
Clear,Highway,Afternoon,2.0,50.0,1.0,0.0,Low,Under Construction,Truck,60.0,52.0,Artificial Light,0.0,1,2,1,1,Senior,0.8666666666666667,1,2.0,1,3,2,6.0
Foggy,Highway,Evening,1.0,100.0,3.0,0.0,Moderate,Wet,Car,25.0,38.9812030075188,Artificial Light,0.0,2,3,3,3,Young,1.559248120300752,1,3.0,2,3,9,3.0
Clear,Highway,Afternoon,2.0,60.0,4.0,0.0,Low,Wet,Car,62.0,61.0,Artificial Light,0.0,1,2,1,1,Senior,0.9838709677419355,1,8.0,1,3,2,6.0
Foggy,City Road,Afternoon,0.0,100.0,4.0,0.0,High,Dry,Truck,63.0,62.0,Artificial Light,1.0,1,2,3,3,Senior,0.9841269841269841,1,0.0,2,2,6,0.0
Rainy,City Road,Night,2.0,50.0,2.0,0.0,Moderate,Under Construction,Motorcycle,30.0,25.0,Daylight,0.0,3,4,2,1,Adult,0.8333333333333334,1,4.0,1,2,8,4.0
Clear,City Road,Night,1.0,60.0,1.0,0.0,Low,Dry,Car,54.0,54.0,No Light,1.0,3,4,1,1,Senior,1.0,1,1.0,1,2,4,2.0
Snowy,Highway,Afternoon,2.0,50.0,5.0,0.0,Low,Icy,Truck,58.0,55.0,Daylight,0.0,1,2,5,1,Senior,0.9482758620689655,1,10.0,1,3,10,6.0
Snowy,Highway,Afternoon,1.0012531328320802,60.0,4.0,0.0,Low,Dry,Truck,48.0,44.0,No Light,1.0,1,2,5,1,Middle_Age,0.9166666666666666,1,4.005012531328321,1,3,10,3.0037593984962405
Rainy,Rural Road,Afternoon,0.0,80.0,2.0,0.0,Low,Dry,Car,45.0,39.0,Artificial Light,0.0,1,2,2,1,Middle_Age,0.8666666666666667,1,0.0,2,2,4,0.0
Clear,Rural Road,Evening,2.0,80.0,2.0,0.0,Low,Dry,Car,35.0,31.0,Daylight,0.0,2,3,1,1,Adult,0.8857142857142857,1,4.0,2,2,3,4.0
Clear,Highway,Evening,2.0,50.0,3.0,0.0,Low,Wet,Car,64.0,55.0,No Light,0.0,2,3,1,1,Senior,0.859375,1,6.0,1,3,3,6.0
